epoch,step,test_metric,train_loss,val_loss,val_metric
0,13,,,0.7470552325248718,0.28629857301712036
1,27,,,0.8327662944793701,0.28629857301712036
2,41,,,0.7930435538291931,0.28629857301712036
3,49,,0.9001328945159912,,
3,55,,,0.6612781286239624,0.28629857301712036
4,69,,,0.7225778102874756,0.4304901361465454
5,83,,,1.3833160400390625,0.2083333283662796
6,97,,,0.6281497478485107,0.5180578231811523
7,99,,0.3756183087825775,,
7,111,,,0.9203022122383118,0.4372710585594177
8,125,,,1.0157850980758667,0.43974632024765015
9,139,,,0.6384913325309753,0.527852475643158
10,149,,0.39512524008750916,,
10,153,,,1.056164264678955,0.3643578588962555
11,167,,,0.5666533708572388,0.5650349855422974
12,181,,,1.07477867603302,0.439825177192688
13,195,,,1.1688525676727295,0.41545891761779785
14,199,,0.12878897786140442,,
14,209,,,1.0272990465164185,0.3768009841442108
15,223,,,0.9071519374847412,0.45529550313949585
16,237,,,1.0137327909469604,0.45649510622024536
17,249,,0.09528713673353195,,
17,251,,,1.0082091093063354,0.41200000047683716
18,265,,,0.9553689360618591,0.4301811456680298
19,279,,,0.9712265133857727,0.4357864558696747
20,293,,,1.7807154655456543,0.3659796118736267
21,299,,0.044521305710077286,,
21,307,,,1.7093056440353394,0.3711470365524292
22,308,0.4444444477558136,,,
